product,product_label,geo_level,region,province,location,year,value_metric_tons,data_status
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2017,203.87,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2018,191.64,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2019,191.62,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2020,188.72,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2021,179.25,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2022,182.53,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2023,181.95,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2024,153.85,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2025,209.33,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Abra,2026,152.39,estimated_gap
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2010,254.85,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2011,248.45,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2012,267.65,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2013,324.5,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2014,374.84,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2015,393.08,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2016,347.69,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2017,324.65,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2018,295.55,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2019,284.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2020,333.09,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2021,343.87,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2022,347.6,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2023,335.25,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2024,335.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2025,326.08,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Apayao,2026,369.64,estimated_gap
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2010,15.14,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2011,15.38,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2012,15.1,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2013,15.16,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2014,15.29,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2015,15.01,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2016,14.78,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2017,15.06,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2018,15.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2019,15.55,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2020,15.82,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2021,16.77,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2022,18.9,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2023,19.56,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2024,18.5,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2025,18.37,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Benguet,2026,26.98,estimated_gap
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2010,86.82,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2011,90.31,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2012,94.71,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2013,103.95,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2014,131.11,official_psa
